---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 HS 6-1  1.153e+02  [0 1.000e+00 3.125e-02 9.948e-07]  [162 -1 31]
 HS 6-2  1.172e+02  [-120 9.948e-07 3.109e-08 7.004e-06]  [154 0 32]
 HS 6-1  1.198e+02  [0 1.000e+00 3.125e-02 9.960e-07]  [406 0 51]
 HS 6-2  1.226e+02  [-120 9.960e-07 3.113e-08 6.052e-06]  [411 0 54]
 HS 6-1  1.244e+02  [0 1.000e+00 3.125e-02 9.136e-07]  [160 -1 30]
 HS 6-2  1.263e+02  [-120 9.136e-07 2.855e-08 2.925e-06]  [162 0 29]
---------------------------------------------------------------------
 HS 7-1  1.281e+02  [0 1.000e+00 1.563e-02 9.344e-07]  [165 -1 31]
 HS 7-2  1.300e+02  [-120 9.344e-07 1.460e-08 7.423e-06]  [150 0 29]
 HS 7-1  1.319e+02  [0 1.000e+00 1.562e-02 9.744e-07]  [161 -1 30]
 HS 7-2  1.337e+02  [-120 9.744e-07 1.522e-08 1.288e-05]  [142 0 28]
 HS 7-1  1.355e+02  [0 1.000e+00 1.562e-02 9.948e-07]  [162 -1 30]
 HS 7-2  1.373e+02  [-120 9.948e-07 1.554e-08 1.372e-05]  [144 0 27]
 HS 7-1  1.400e+02  [0 1.000e+00 1.563e-02 9.911e-07]  [406 0 51]
 HS 7-2  1.427e+02  [-120 9.911e-07 1.549e-08 1.229e-05]  [373 0 51]
 HS 7-1  1.445e+02  [0 1.000e+00 1.563e-02 9.136e-07]  [160 -1 31]
 HS 7-2  1.464e+02  [-120 9.136e-07 1.428e-08 6.500e-06]  [157 0 31]
---------------------------------------------------------------------
 HS 8-1  1.483e+02  [0 1.000e+00 7.813e-03 9.260e-07]  [165 -1 32]
 HS 8-2  1.501e+02  [-120 9.260e-07 7.235e-09 1.465e-05]  [141 0 28]
 HS 8-1  1.521e+02  [0 1.000e+00 7.812e-03 9.744e-07]  [161 -1 31]
 HS 8-2  1.538e+02  [-120 9.744e-07 7.613e-09 2.762e-05]  [133 0 26]
 HS 8-1  1.557e+02  [0 1.000e+00 7.812e-03 9.948e-07]  [162 -1 32]
 HS 8-2  1.575e+02  [-120 9.948e-07 7.772e-09 2.828e-05]  [133 0 26]
 HS 8-1  1.602e+02  [0 1.000e+00 7.813e-03 9.891e-07]  [406 0 51]
 HS 8-2  1.627e+02  [-120 9.891e-07 7.727e-09 2.415e-05]  [316 0 48]
 HS 8-1  1.645e+02  [0 1.000e+00 7.813e-03 9.136e-07]  [160 -1 32]
